LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,ScreenPorch,SalePrice
65.0,8450,Reg,Inside,CollgCr,2Story,7,2003,2003,VinylSd,VinylSd,BrkFace,196.0,Gd,Gd,No,GLQ,706,150,856,Ex,856,854,1710,1,2,1,3,Gd,8,0,Attchd,2003.0,RFn,2,548,0,61,0,208500
80.0,9600,Reg,FR2,Veenker,1Story,6,1976,1976,MetalSd,MetalSd,None,0.0,TA,Gd,Gd,ALQ,978,284,1262,Ex,1262,0,1262,0,2,0,3,TA,6,1,Attchd,1976.0,RFn,2,460,298,0,0,181500
68.0,11250,IR1,Inside,CollgCr,2Story,7,2001,2002,VinylSd,VinylSd,BrkFace,162.0,Gd,Gd,Mn,GLQ,486,434,920,Ex,920,866,1786,1,2,1,3,Gd,6,1,Attchd,2001.0,RFn,2,608,0,42,0,223500
60.0,9550,IR1,Corner,Crawfor,2Story,7,1915,1970,Wd Sdng,Wd Shng,None,0.0,TA,TA,No,ALQ,216,540,756,Gd,961,756,1717,1,1,0,3,Gd,7,1,Detchd,1998.0,Unf,3,642,0,35,0,140000
84.0,14260,IR1,FR2,NoRidge,2Story,8,2000,2000,VinylSd,VinylSd,BrkFace,350.0,Gd,Gd,Av,GLQ,655,490,1145,Ex,1145,1053,2198,1,2,1,4,Gd,9,1,Attchd,2000.0,RFn,3,836,192,84,0,250000
85.0,14115,IR1,Inside,Mitchel,1.5Fin,5,1993,1995,VinylSd,VinylSd,None,0.0,TA,Gd,No,GLQ,732,64,796,Ex,796,566,1362,1,1,1,1,TA,5,0,Attchd,1993.0,Unf,2,480,40,30,0,143000
75.0,10084,Reg,Inside,Somerst,1Story,8,2004,2005,VinylSd,VinylSd,Stone,186.0,Gd,Ex,Av,GLQ,1369,317,1686,Ex,1694,0,1694,1,2,0,3,Gd,7,1,Attchd,2004.0,RFn,2,636,255,57,0,307000
,10382,IR1,Corner,NWAmes,2Story,7,1973,1973,HdBoard,HdBoard,Stone,240.0,TA,Gd,Mn,ALQ,859,216,1107,Ex,1107,983,2090,1,2,1,3,TA,7,2,Attchd,1973.0,RFn,2,484,235,204,0,200000
51.0,6120,Reg,Inside,OldTown,1.5Fin,7,1931,1950,BrkFace,Wd Shng,None,0.0,TA,TA,No,Unf,0,952,952,Gd,1022,752,1774,0,2,0,2,TA,8,2,Detchd,1931.0,Unf,2,468,90,0,0,129900
50.0,7420,Reg,Corner,BrkSide,1.5Unf,5,1939,1950,MetalSd,MetalSd,None,0.0,TA,TA,No,GLQ,851,140,991,Ex,1077,0,1077,1,1,0,2,TA,5,2,Attchd,1939.0,RFn,1,205,0,4,0,118000
70.0,11200,Reg,Inside,Sawyer,1Story,5,1965,1965,HdBoard,HdBoard,None,0.0,TA,TA,No,Rec,906,134,1040,Ex,1040,0,1040,1,1,0,3,TA,5,0,Detchd,1965.0,Unf,1,384,0,0,0,129500
85.0,11924,IR1,Inside,NridgHt,2Story,9,2005,2006,WdShing,Wd Shng,Stone,286.0,Ex,Ex,No,GLQ,998,177,1175,Ex,1182,1142,2324,1,3,0,4,Ex,11,2,BuiltIn,2005.0,Fin,3,736,147,21,0,345000
,12968,IR2,Inside,Sawyer,1Story,5,1962,1962,HdBoard,Plywood,None,0.0,TA,TA,No,ALQ,737,175,912,TA,912,0,912,1,1,0,2,TA,4,0,Detchd,1962.0,Unf,1,352,140,0,176,144000
91.0,10652,IR1,Inside,CollgCr,1Story,7,2006,2007,VinylSd,VinylSd,Stone,306.0,Gd,Gd,Av,Unf,0,1494,1494,Ex,1494,0,1494,0,2,0,3,Gd,7,1,Attchd,2006.0,RFn,3,840,160,33,0,279500
,10920,IR1,Corner,NAmes,1Story,6,1960,1960,MetalSd,MetalSd,BrkFace,212.0,TA,TA,No,BLQ,733,520,1253,TA,1253,0,1253,1,1,1,2,TA,5,1,Attchd,1960.0,RFn,1,352,0,213,0,157000
51.0,6120,Reg,Corner,BrkSide,1.5Unf,7,1929,2001,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,Unf,0,832,832,Ex,854,0,854,0,1,0,2,TA,5,0,Detchd,1991.0,Unf,2,576,48,112,0,132000
,11241,IR1,CulDSac,NAmes,1Story,6,1970,1970,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,No,ALQ,578,426,1004,Ex,1004,0,1004,1,1,0,2,TA,5,1,Attchd,1970.0,Fin,2,480,0,0,0,149000
72.0,10791,Reg,Inside,Sawyer,1Story,4,1967,1967,MetalSd,MetalSd,None,0.0,TA,,,,0,0,0,TA,1296,0,1296,0,2,0,2,TA,6,0,CarPort,1967.0,Unf,2,516,0,0,0,90000
66.0,13695,Reg,Inside,SawyerW,1Story,5,2004,2004,VinylSd,VinylSd,None,0.0,TA,TA,No,GLQ,646,468,1114,Ex,1114,0,1114,1,1,1,3,Gd,6,0,Detchd,2004.0,Unf,2,576,0,102,0,159000
70.0,7560,Reg,Inside,NAmes,1Story,5,1958,1965,BrkFace,Plywood,None,0.0,TA,TA,No,LwQ,504,525,1029,TA,1339,0,1339,0,1,0,3,TA,6,0,Attchd,1958.0,Unf,1,294,0,0,0,139000
101.0,14215,IR1,Corner,NridgHt,2Story,8,2005,2006,VinylSd,VinylSd,BrkFace,380.0,Gd,Ex,Av,Unf,0,1158,1158,Ex,1158,1218,2376,0,3,1,4,Gd,9,1,BuiltIn,2005.0,RFn,3,853,240,154,0,325300
57.0,7449,Reg,Inside,IDOTRR,1.5Unf,7,1930,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,Unf,0,637,637,Ex,1108,0,1108,0,1,0,3,Gd,6,1,Attchd,1930.0,Unf,1,280,0,0,0,139400
75.0,9742,Reg,Inside,CollgCr,1Story,8,2002,2002,VinylSd,VinylSd,BrkFace,281.0,Gd,Gd,No,Unf,0,1777,1777,Ex,1795,0,1795,0,2,0,3,Gd,7,1,Attchd,2002.0,RFn,2,534,171,159,0,230000
44.0,4224,Reg,Inside,MeadowV,1Story,5,1976,1976,CemntBd,CmentBd,None,0.0,TA,Gd,No,GLQ,840,200,1040,TA,1060,0,1060,1,1,0,3,TA,6,1,Attchd,1976.0,Unf,2,572,100,110,0,129900
,8246,IR1,Inside,Sawyer,1Story,5,1968,2001,Plywood,Plywood,None,0.0,TA,TA,Mn,Rec,188,204,1060,Ex,1060,0,1060,1,1,0,3,Gd,6,1,Attchd,1968.0,Unf,1,270,406,90,0,154000
110.0,14230,Reg,Corner,NridgHt,1Story,8,2007,2007,VinylSd,VinylSd,Stone,640.0,Gd,Gd,No,Unf,0,1566,1566,Ex,1600,0,1600,0,2,0,3,Gd,7,1,Attchd,2007.0,RFn,3,890,0,56,0,256300
60.0,7200,Reg,Corner,NAmes,1Story,5,1951,2000,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Mn,BLQ,234,180,900,TA,900,0,900,0,1,0,3,Gd,5,0,Detchd,2005.0,Unf,2,576,222,32,0,134800
98.0,11478,Reg,Inside,NridgHt,1Story,8,2007,2008,VinylSd,VinylSd,Stone,200.0,Gd,Ex,No,GLQ,1218,486,1704,Ex,1704,0,1704,1,2,0,3,Gd,7,1,Attchd,2008.0,RFn,3,772,0,50,0,306000
47.0,16321,IR1,CulDSac,NAmes,1Story,5,1957,1997,MetalSd,MetalSd,None,0.0,TA,TA,Gd,BLQ,1277,207,1484,TA,1600,0,1600,1,1,0,2,TA,6,2,Attchd,1957.0,RFn,1,319,288,258,0,207500
60.0,6324,IR1,Inside,BrkSide,1Story,4,1927,1950,MetalSd,MetalSd,None,0.0,TA,TA,No,Unf,0,520,520,Fa,520,0,520,0,1,0,1,Fa,4,0,Detchd,1920.0,Unf,1,240,49,0,0,68500
50.0,8500,Reg,Inside,IDOTRR,2Story,4,1920,1950,BrkFace,BrkFace,None,0.0,TA,TA,No,Unf,0,649,649,TA,649,668,1317,0,1,0,3,TA,6,0,Detchd,1920.0,Unf,1,250,0,54,0,40000
,8544,IR1,CulDSac,Sawyer,1Story,5,1966,2006,HdBoard,HdBoard,None,0.0,TA,TA,No,Unf,0,1228,1228,Gd,1228,0,1228,0,1,1,3,Gd,6,0,Attchd,1966.0,Unf,1,271,0,65,0,149350
