LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,MasVnrType,ExterQual,BsmtQual,KitchenQual,GarageFinish,SalePrice
8450,7,2003,2003,196.0,706,856,856,854,1710,2,8,0,2003.0,2,548,0,61,208500,BrkFace,Gd,Gd,Gd,RFn,208500
9600,6,1976,1976,0.0,978,1262,1262,0,1262,2,6,1,1976.0,2,460,298,0,181500,None,TA,Gd,TA,RFn,181500
11250,7,2001,2002,162.0,486,920,920,866,1786,2,6,1,2001.0,2,608,0,42,223500,BrkFace,Gd,Gd,Gd,RFn,223500
9550,7,1915,1970,0.0,216,756,961,756,1717,1,7,1,1998.0,3,642,0,35,140000,None,TA,TA,Gd,Unf,140000
14260,8,2000,2000,350.0,655,1145,1145,1053,2198,2,9,1,2000.0,3,836,192,84,250000,BrkFace,Gd,Gd,Gd,RFn,250000
14115,5,1993,1995,0.0,732,796,796,566,1362,1,5,0,1993.0,2,480,40,30,143000,None,TA,Gd,TA,Unf,143000
10084,8,2004,2005,186.0,1369,1686,1694,0,1694,2,7,1,2004.0,2,636,255,57,307000,Stone,Gd,Ex,Gd,RFn,307000
10382,7,1973,1973,240.0,859,1107,1107,983,2090,2,7,2,1973.0,2,484,235,204,200000,Stone,TA,Gd,TA,RFn,200000
6120,7,1931,1950,0.0,0,952,1022,752,1774,2,8,2,1931.0,2,468,90,0,129900,None,TA,TA,TA,Unf,129900
7420,5,1939,1950,0.0,851,991,1077,0,1077,1,5,2,1939.0,1,205,0,4,118000,None,TA,TA,TA,RFn,118000
11200,5,1965,1965,0.0,906,1040,1040,0,1040,1,5,0,1965.0,1,384,0,0,129500,None,TA,TA,TA,Unf,129500
11924,9,2005,2006,286.0,998,1175,1182,1142,2324,3,11,2,2005.0,3,736,147,21,345000,Stone,Ex,Ex,Ex,Fin,345000
12968,5,1962,1962,0.0,737,912,912,0,912,1,4,0,1962.0,1,352,140,0,144000,None,TA,TA,TA,Unf,144000
10652,7,2006,2007,306.0,0,1494,1494,0,1494,2,7,1,2006.0,3,840,160,33,279500,Stone,Gd,Gd,Gd,RFn,279500
10920,6,1960,1960,212.0,733,1253,1253,0,1253,1,5,1,1960.0,1,352,0,213,157000,BrkFace,TA,TA,TA,RFn,157000
6120,7,1929,2001,0.0,0,832,854,0,854,1,5,0,1991.0,2,576,48,112,132000,None,TA,TA,TA,Unf,132000
11241,6,1970,1970,180.0,578,1004,1004,0,1004,1,5,1,1970.0,2,480,0,0,149000,BrkFace,TA,TA,TA,Fin,149000
10791,4,1967,1967,0.0,0,0,1296,0,1296,2,6,0,1967.0,2,516,0,0,90000,None,TA,,TA,Unf,90000
13695,5,2004,2004,0.0,646,1114,1114,0,1114,1,6,0,2004.0,2,576,0,102,159000,None,TA,TA,Gd,Unf,159000
7560,5,1958,1965,0.0,504,1029,1339,0,1339,1,6,0,1958.0,1,294,0,0,139000,None,TA,TA,TA,Unf,139000
14215,8,2005,2006,380.0,0,1158,1158,1218,2376,3,9,1,2005.0,3,853,240,154,325300,BrkFace,Gd,Ex,Gd,RFn,325300
7449,7,1930,1950,0.0,0,637,1108,0,1108,1,6,1,1930.0,1,280,0,0,139400,None,TA,TA,Gd,Unf,139400
9742,8,2002,2002,281.0,0,1777,1795,0,1795,2,7,1,2002.0,2,534,171,159,230000,BrkFace,Gd,Gd,Gd,RFn,230000
4224,5,1976,1976,0.0,840,1040,1060,0,1060,1,6,1,1976.0,2,572,100,110,129900,None,TA,Gd,TA,Unf,129900
8246,5,1968,2001,0.0,188,1060,1060,0,1060,1,6,1,1968.0,1,270,406,90,154000,None,TA,TA,Gd,Unf,154000
14230,8,2007,2007,640.0,0,1566,1600,0,1600,2,7,1,2007.0,3,890,0,56,256300,Stone,Gd,Gd,Gd,RFn,256300
7200,5,1951,2000,0.0,234,900,900,0,900,1,5,0,2005.0,2,576,222,32,134800,None,TA,TA,Gd,Unf,134800
